openssl_101f,boringssl_0.9,sim_value
DES_xcbc_encrypt,DES_ede3_cfb64_encrypt,0.9892053593416528
ASN1_generate_v3,ASN1_generate_v3,0.9888139163679451
BN_from_montgomery_word,BN_from_montgomery_word,0.9885169094316518
X509_check_akid,X509_check_akid,0.9884150770464861
do_name_ex,do_print_ex,0.98816855228455
do_print_ex,do_name_ex,0.98816855228455
BN_div,BN_div,0.9878182938691049
b64_read,b64_write,0.987479017561314
str_copy,str_copy,0.9872850007712828
crl_akid_check,crl_akid_check,0.9872428892345739
X509_load_cert_crl_file,X509_load_cert_crl_file,0.9872354187302768
BN_mod_exp2_mont,BN_mod_exp_mont,0.9864590498206328
b64_write,b64_read,0.9862426455113893
dsa_builtin_paramgen,DSA_generate_parameters_ex,0.9859653762709792
ec_GFp_simple_dbl,ec_GFp_simple_add,0.9853293505572215
DES_ede3_cbcm_encrypt,DES_ede3_cfb64_encrypt,0.9850986049340513
OBJ_obj2txt,a2d_ASN1_OBJECT,0.985068022874565
ec_GFp_simple_add,ec_GFp_simple_dbl,0.9850037044859821
X509_REQ_print_ex,X509_REQ_print_ex,0.9847869714329298
ec_GF2m_simple_oct2point,ec_GFp_simple_oct2point,0.9840749489785954
ec_GFp_simple_oct2point,ec_GFp_simple_oct2point,0.9839842544663623
X509_CRL_print,X509_CRL_print,0.98348894308995
BN_mod_exp_recp,BN_mod_exp_mont,0.9832384597331612
pkey_rsa_ctrl,pkey_rsa_ctrl,0.9830988063226684
PEM_read_bio_PrivateKey,PEM_read_bio_PrivateKey,0.9829707438087361
ec_GFp_simple_is_on_curve,ec_GFp_simple_set_compressed_coordinates,0.9829676401704641
policy_cache_set_mapping,policy_cache_set_mapping,0.9828379827561153
compute_wNAF,compute_wNAF,0.9825546727797405
x509_name_canon,x509_name_canon,0.9823980758810005
BN_mod_inverse,BN_mod_sqrt,0.9819695970517917
X509_verify_cert,X509_verify_cert,0.9816462735416456
X509_ATTRIBUTE_set1_data,X509_ATTRIBUTE_set1_data,0.9809526445913184
DES_ofb64_encrypt,DES_ede3_cfb_encrypt,0.9809338660938249
BN_mod_exp2_mont,mod_exp_recp,0.9809110661764198
ASN1_get_object,ASN1_get_object,0.9807751100800597
tree_link_unmatched,tree_link_unmatched,0.9807331052133698
dsa_do_sign,DSA_do_sign,0.9805888376948066
ec_GF2m_simple_set_compressed_coordinates,ec_GFp_simple_set_compressed_coordinates,0.9801514361099806
ec_GFp_simple_dbl,ec_GFp_simple_set_compressed_coordinates,0.9797836045217048
DES_ede3_ofb64_encrypt,DES_ede3_cfb_encrypt,0.9791707007862811
ec_GFp_simple_set_compressed_coordinates,ec_GFp_simple_is_on_curve,0.9789067851625073
ec_GFp_simple_cmp,ec_GFp_simple_add,0.9780989348018948
BF_ofb64_encrypt,DES_ede3_cfb_encrypt,0.9777333122106253
CAST_ofb64_encrypt,DES_ede3_cfb_encrypt,0.9777333122106253
CRYPTO_ctr128_encrypt_ctr32,CRYPTO_ctr128_encrypt_ctr32,0.977641226479069
ec_GF2m_simple_add,ec_GFp_simple_dbl,0.9767783475725513
setup_dp,setup_dp,0.9764714990321044
policy_cache_create,policy_cache_create,0.9761317013705623
DES_ofb_encrypt,DES_ede3_cfb_encrypt,0.9756219763603053
ec_GF2m_simple_is_on_curve,ec_GFp_simple_add,0.9755896613089159
d2i_ASN1_type_bytes,c2i_ASN1_BIT_STRING,0.9754923758390828
BN_mod_exp_mont,mod_exp_recp,0.9753831582401167
ecdsa_sign_setup,ecdsa_sign_setup,0.9751144359045454
DES_cfb_encrypt,DES_ede3_cfb_encrypt,0.9747858957892617
X509_REQ_add_extensions_nid,X509_REQ_add_extensions_nid,0.9747832939322301
d2i_ASN1_bytes,c2i_ASN1_BIT_STRING,0.9746010532465607
asn1_multi,asn1_multi,0.9744110638722485
ec_GFp_simple_point_get_affine_coordinates,ec_GFp_simple_set_compressed_coordinates,0.9743310115349486
ec_GF2m_simple_set_compressed_coordinates,ec_GFp_simple_is_on_curve,0.9741752427377516
c2i_ASN1_OBJECT,c2i_ASN1_OBJECT,0.9739994516519153
ec_GF2m_simple_add,ec_GFp_simple_set_compressed_coordinates,0.9738601358660157
ec_GF2m_simple_add,ec_GFp_simple_is_on_curve,0.9737102918465765
ec_GF2m_simple_is_on_curve,ec_GFp_simple_is_on_curve,0.9733440662996505
dsa_do_verify,DSA_do_check_signature,0.9732456015349062
ec_GFp_simple_set_compressed_coordinates,ec_GFp_simple_dbl,0.9731894007108061
test_sqrt,BN_mod_sqrt,0.9726483568959337
ec_GF2m_simple_add,ec_GFp_simple_add,0.9725556900378068
asn1_template_noexp_d2i,asn1_template_ex_d2i,0.9720250646618577
aes_gcm_ctrl,aes_gcm_ctrl,0.9709762785848333
ec_GFp_simple_add,ec_GFp_simple_set_compressed_coordinates,0.9709101097622272
X509_CERT_AUX_print,X509_CERT_AUX_print,0.9707853104454149
ecdh_compute_key,ECDH_compute_key,0.9707010009883861
ec_GF2m_simple_point2oct,ec_GFp_simple_point2oct,0.9704942699234183
conn_state,conn_state,0.9704863749916806
asn1_template_ex_d2i,asn1_template_noexp_d2i,0.9702589174096503
x509_object_idx_cnt,do_print_ex,0.9697890860225006
get_crl_sk,get_crl_sk,0.9695890353272032
d2i_ASN1_bytes,d2i_ASN1_UINTEGER,0.9693840080665289
ec_GFp_simple_set_compressed_coordinates,ec_GFp_simple_add,0.9693661523552435
X509_verify_cert,internal_verify,0.9691665947122955
internal_verify,X509_verify_cert,0.9689048494938485
DES_cfb_encrypt,DES_ede3_cfb64_encrypt,0.9687855128392381
get_cert_by_subject,get_cert_by_subject,0.9684762743648199
ecdsa_do_sign,ECDSA_do_sign_ex,0.9682925929557852
ec_GF2m_simple_set_compressed_coordinates,ec_GFp_simple_add,0.9681812539692414
get_delta_sk,get_delta_sk,0.9681662450984632
ec_GF2m_simple_is_on_curve,ec_GFp_simple_dbl,0.9678237847110325
d2i_ASN1_type_bytes,d2i_ASN1_UINTEGER,0.9677419049405596
ec_GF2m_simple_is_on_curve,ec_GFp_simple_cmp,0.9676636371421684
ec_GFp_simple_point_get_affine_coordinates,ec_GFp_simple_add,0.9674191849237801
ecdsa_do_verify,ECDSA_do_verify,0.9673165784158311
ec_GFp_simple_cmp,ec_GFp_simple_is_on_curve,0.967219558234355
ec_GFp_simple_add,ec_GFp_simple_cmp,0.9672098239197251
ec_GF2m_simple_set_compressed_coordinates,ecdsa_sign_setup,0.9668086638074367
