openssl_101f,boringssl_0.9,sim_value
asn1_get_enc_ptr,asn1_get_enc_ptr,1.0
d2i_ASN1_UTF8STRING,d2i_DIRECTORYSTRING,1.0
X509_CRL_digest,X509_CRL_digest,1.0
EXTENDED_KEY_USAGE_free,EXTENDED_KEY_USAGE_free,1.0
ASN1_VISIBLESTRING_free,DISPLAYTEXT_free,1.0
d2i_ASN1_UNIVERSALSTRING,d2i_ASN1_PRINTABLESTRING,1.0
d2i_ASN1_TIME,d2i_ASN1_BMPSTRING,1.0
ASN1_TIME_free,DIRECTORYSTRING_free,1.0
X509_REQ_get_attr,X509_REQ_delete_attr,1.0
X509V3_section_free,X509V3_section_free,1.0
d2i_ASN1_BIT_STRING,d2i_ASN1_INTEGER,1.0
d2i_ASN1_GENERALIZEDTIME,d2i_ASN1_IA5STRING,1.0
d2i_DSAPrivateKey_fp,d2i_DSAPrivateKey_fp,1.0
X509_CRL_set_issuer_name,X509_CRL_set_issuer_name,1.0
d2i_ASN1_BMPSTRING,d2i_ASN1_VISIBLESTRING,1.0
ASN1_item_d2i_bio,ASN1_item_d2i_bio,1.0
X509_STORE_CTX_get_explicit_policy,X509_STORE_CTX_get_error_depth,1.0
i2a_ASN1_ENUMERATED,i2a_ASN1_ENUMERATED,1.0
BUF_strdup,BUF_strdup,1.0
by_dir_hash_free,by_dir_hash_free,1.0
d2i_ASN1_IA5STRING,d2i_DISPLAYTEXT,1.0
d2i_ASN1_GENERALSTRING,d2i_ASN1_UNIVERSALSTRING,1.0
d2i_ASN1_PRINTABLESTRING,d2i_ASN1_T61STRING,1.0
X509_EXTENSION_free,X509_EXTENSION_free,1.0
ec_GF2m_simple_point_finish,ec_GFp_simple_point_clear_finish,1.0
X509_REQ_get_attr_by_OBJ,X509_REQ_get_attr_by_OBJ,1.0
X509_TRUST_set,X509_PURPOSE_set,1.0
ASN1_STRING_print_ex_fp,ASN1_STRING_print_ex_fp,1.0
PEM_write_PKCS8PrivateKey_nid,PEM_write_PKCS8PrivateKey_nid,1.0
eckey_priv_print,eckey_param_print,1.0
d2i_ASN1_OCTET_STRING,d2i_ASN1_T61STRING,1.0
EC_KEY_get0_public_key,EC_KEY_get0_public_key,1.0
BN_CTX_start,BN_CTX_start,1.0
int_dsa_size,int_dsa_size,1.0
check_purpose_smime_encrypt,check_purpose_smime_encrypt,1.0
d2i_ASN1_UTF8STRING,d2i_ASN1_TIME,1.0
ASN1_check_infinite_end,ASN1_check_infinite_end,1.0
