openssl_101f,libressl_3,sim_value
EC_GROUP_copy,EC_GROUP_copy,0.9983175376938478
load_certs_crls,load_certs_crls,0.9982735102000864
acpt_ctrl,acpt_ctrl,0.998266633843821
OCSP_request_sign,OCSP_request_sign,0.9982378854625551
ec_asn1_group2fieldid,ec_asn1_group2fieldid,0.9982177853901764
ECPKParameters_print,ECPKParameters_print,0.998182411583098
d2i_RSA_NET,d2i_RSA_NET,0.9981349250643048
EVP_PBE_CipherInit,EVP_PBE_CipherInit,0.9980824544582934
reply_command,reply_command,0.9980339585432365
RSA_eay_public_decrypt,RSA_eay_public_decrypt,0.998025504204898
asn1_d2i_read_bio,asn1_d2i_read_bio,0.9980182087661575
X509_load_cert_crl_file,X509_load_cert_crl_file,0.9979738856371004
PKCS7_RECIP_INFO_set,PKCS7_RECIP_INFO_set,0.997942617413023
SMIME_read_ASN1,SMIME_read_ASN1,0.9979340915255019
X509V3_EXT_print,X509V3_EXT_print,0.9979322736295508
do_fp,do_fp,0.9979053204859656
CMS_set1_signers_certs,CMS_set1_signers_certs,0.9978339975740773
crl_cb,crl_cb,0.9977151760685705
asn1_check_tlen,asn1_check_tlen,0.9976453215451244
certify_spkac,certify_spkac,0.9976431578960476
PEM_read_bio_PrivateKey,PEM_read_bio_PrivateKey,0.9976156854117271
PKCS5_pbkdf2_set,PKCS5_pbkdf2_set,0.9976152570209869
ndef_suffix,ndef_suffix,0.9976131955076558
ASN1_primitive_new,ASN1_primitive_new,0.9975776638678511
X509_print_ex,X509_print_ex,0.9975692761347039
PKCS7_verify,PKCS7_verify,0.997558686868991
PEM_X509_INFO_write_bio,PEM_X509_INFO_write_bio,0.9975183688185449
ec_GF2m_simple_oct2point,ec_GF2m_simple_oct2point,0.9974933683240583
certify_cert,certify_cert,0.9974634462401417
pkey_rsa_verifyrecover,pkey_rsa_verifyrecover,0.9974435013805092
PKCS7_dataInit,PKCS7_dataInit,0.997442977724935
engine_table_register,engine_table_register,0.9974120065318799
x509_cb,x509_cb,0.9973475986408755
BN_is_prime_fasttest_ex,BN_is_prime_fasttest_ex,0.9972711141923118
crl_set_issuers,crl_set_issuers,0.9972680923480309
RSA_generate_key,RSA_generate_key,0.9971620376818372
ec_GFp_simple_oct2point,ec_GFp_simple_oct2point,0.9970387700321506
X509_STORE_get_by_subject,X509_STORE_get_by_subject,0.9970191226096738
ec_GF2m_simple_mul,ec_GF2m_simple_mul,0.9969530401200717
setup_dp,setup_dp,0.9968847352024922
asn1_d2i_ex_primitive,asn1_d2i_ex_primitive,0.9968705595777791
PKCS7_dataVerify,PKCS7_dataVerify,0.9968311576886768
i2d_RSA_NET,i2d_RSA_NET,0.9968086936713274
add_ocsp_serial,add_ocsp_serial,0.9966921803031246
copy_email,copy_email,0.996685269187398
a2i_GENERAL_NAME,a2i_GENERAL_NAME,0.9966804979253111
PKCS12_parse,PKCS12_parse,0.9964442755264884
do_sigver_init,do_sigver_init,0.9964356973866988
ASN1_mbstring_ncopy,ASN1_mbstring_ncopy,0.99642957057166
dsa_builtin_paramgen,dsa_builtin_paramgen,0.9964154560952232
b64_write,b64_write,0.9963219575887452
ec_GFp_simple_oct2point,ec_GF2m_simple_oct2point,0.996287260902968
RSA_eay_private_decrypt,RSA_eay_private_decrypt,0.9962306694704877
EVP_CipherInit_ex,EVP_CipherInit_ex,0.9961936099106957
ssl3_cbc_digest_record,ssl3_cbc_digest_record,0.9961726535116254
ec_GFp_simple_group_set_curve,ec_GFp_simple_group_set_curve,0.9961636829225735
asn1_bio_write,asn1_bio_write,0.9959227579991065
d2i_RSA_NET_2,d2i_RSA_NET_2,0.9959142833319435
ec_asn1_parameters2group,ec_asn1_parameters2group,0.9958521082107115
pkey_rsa_sign,pkey_rsa_sign,0.9958221986437837
asn1_item_print_ctx,asn1_item_print_ctx,0.9957654946039465
r2i_pci,r2i_pci,0.9957282080270807
