file_name,openssl_101f,boringssl_0,sim_value
x509_req.c_x509_req.c,X509_to_X509_REQ,X509_to_X509_REQ,0.9940010238537915
v3_conf.c_v3_conf.c,do_ext_nconf,do_ext_nconf,0.9937928444805005
ecp_smpl.c_simple.c,ec_GFp_simple_dbl,ec_GFp_simple_is_on_curve,0.9937296964398372
bn_exp.c_exponentiation.c,BN_mod_exp_mont_consttime,BN_mod_exp_mont_consttime,0.9937236270067941
ecp_oct.c_oct.c,ec_GFp_simple_set_compressed_coordinates,ec_GFp_simple_set_compressed_coordinates,0.9936670765286221
cbc_enc.c_cfb64ede.c,DES_cbc_encrypt,DES_ede3_cfb64_encrypt,0.9935326985802808
t_x509.c_t_x509.c,X509_print_ex,X509_print_ex,0.9934906685999834
tasn_dec.c_tasn_dec.c,ASN1_item_ex_d2i,ASN1_item_ex_d2i,0.9934343722507629
x509_req.c_x509_req.c,X509_REQ_get_extensions,X509_REQ_get_extensions,0.9933368051372813
bio_b64.c_base64_bio.c,b64_write,b64_write,0.9932338944915486
xts128.c_xts.c,CRYPTO_xts128_encrypt,CRYPTO_xts128_encrypt,0.9931786864498637
ecp_smpl.c_simple.c,ec_GFp_simple_is_on_curve,ec_GFp_simple_dbl,0.9931591484770607
x509_vfy.c_x509_vfy.c,X509_STORE_CTX_init,X509_STORE_CTX_init,0.9929520335125233
t_pkey.c_print.c,ASN1_bn_print,bn_print,0.9928618185673688
des_enc.c_cfb64ede.c,DES_ncbc_encrypt,DES_ede3_cfb64_encrypt,0.9925745092292415
x509_vfy.c_x509_vfy.c,check_crl,check_crl,0.992140782795577
des_enc.c_cfb64ede.c,DES_ede3_cbc_encrypt,DES_ede3_cfb64_encrypt,0.992130481403998
s3_cbc.c_tls_cbc.c,ssl3_cbc_digest_record,EVP_tls_cbc_digest_record,0.9918892883120721
v3_prn.c_v3_prn.c,X509V3_extensions_print,X509V3_extensions_print,0.9916561355070994
v3_alt.c_v3_alt.c,copy_email,copy_email,0.9915299178734354
x509_vfy.c_x509_vfy.c,X509_cmp_time,X509_cmp_time,0.9914292463631518
ecp_smpl.c_simple.c,ec_GFp_simple_is_on_curve,ec_GFp_simple_add,0.9913019620651036
cfb64enc.c_cfb64ede.c,DES_cfb64_encrypt,DES_ede3_cfb_encrypt,0.9912104552583713
v3_crld.c_v3_crld.c,set_dist_point_name,set_dist_point_name,0.9911301859799713
ecp_smpl.c_simple.c,ec_GFp_simple_add,ec_GFp_simple_is_on_curve,0.9910649193229524
cfb64ede.c_cfb64ede.c,DES_ede3_cfb64_encrypt,DES_ede3_cfb_encrypt,0.9910332016846841
cbc_enc.c_cfb64ede.c,DES_cbc_encrypt,DES_ede3_cfb_encrypt,0.990846480472864
cfb64ede.c_cfb64ede.c,DES_ede3_cfb_encrypt,DES_ede3_cfb64_encrypt,0.9901120449144157
bss_file.c_file.c,file_ctrl,file_ctrl,0.9896793302375869
bn_exp.c_exponentiation.c,BN_mod_exp_mont,BN_mod_exp_mont,0.9895546758283502
v3_alt.c_v3_alt.c,do_othername,do_othername,0.9892950044291657
pem_info.c_pem_info.c,PEM_X509_INFO_read_bio,PEM_X509_INFO_read_bio,0.9892487391631287
xcbc_enc.c_cfb64ede.c,DES_xcbc_encrypt,DES_ede3_cfb64_encrypt,0.9892053593416528
asn1_gen.c_asn1_gen.c,ASN1_generate_v3,ASN1_generate_v3,0.9888139163679451
bn_mont.c_montgomery.c,BN_from_montgomery_word,BN_from_montgomery_word,0.9885169094316518
v3_purp.c_v3_purp.c,X509_check_akid,X509_check_akid,0.9884150770464861
a_strex.c_a_strex.c,do_print_ex,do_name_ex,0.98816855228455
a_strex.c_a_strex.c,do_name_ex,do_print_ex,0.98816855228455
bn_div.c_div.c,BN_div,BN_div,0.9878182938691049
bio_b64.c_base64_bio.c,b64_read,b64_write,0.987479017561314
conf_def.c_conf.c,str_copy,str_copy,0.9872591987037782
x509_vfy.c_x509_vfy.c,crl_akid_check,crl_akid_check,0.9872428892345739
by_file.c_by_file.c,X509_load_cert_crl_file,X509_load_cert_crl_file,0.9872354187302768
bn_exp2.c_exponentiation.c,BN_mod_exp2_mont,BN_mod_exp_mont,0.9864590498206328
bio_b64.c_base64_bio.c,b64_write,b64_read,0.9862426455113893
dsa_gen.c_dsa.c,dsa_builtin_paramgen,DSA_generate_parameters_ex,0.9859653762709792
ecp_smpl.c_simple.c,ec_GFp_simple_dbl,ec_GFp_simple_add,0.9853293505572215
ede_cbcm_enc.c_cfb64ede.c,DES_ede3_cbcm_encrypt,DES_ede3_cfb64_encrypt,0.9850986049340513
obj_dat.c_a_object.c,OBJ_obj2txt,a2d_ASN1_OBJECT,0.985068022874565
ecp_smpl.c_simple.c,ec_GFp_simple_add,ec_GFp_simple_dbl,0.9850037044859821
t_req.c_t_req.c,X509_REQ_print_ex,X509_REQ_print_ex,0.9847869714329298
ec2_oct.c_oct.c,ec_GF2m_simple_oct2point,ec_GFp_simple_oct2point,0.9840749489785954
ecp_oct.c_oct.c,ec_GFp_simple_oct2point,ec_GFp_simple_oct2point,0.9839842544663623
t_crl.c_t_crl.c,X509_CRL_print,X509_CRL_print,0.98348894308995
bn_exp.c_exponentiation.c,BN_mod_exp_recp,BN_mod_exp_mont,0.9832384597331612
rsa_pmeth.c_p_rsa.c,pkey_rsa_ctrl,pkey_rsa_ctrl,0.9830988063226684
pem_pkey.c_pem_pkey.c,PEM_read_bio_PrivateKey,PEM_read_bio_PrivateKey,0.9829707438087361
ecp_smpl.c_oct.c,ec_GFp_simple_is_on_curve,ec_GFp_simple_set_compressed_coordinates,0.9829676401704641
pcy_map.c_pcy_map.c,policy_cache_set_mapping,policy_cache_set_mapping,0.9828379827561153
ec_mult.c_wnaf.c,compute_wNAF,compute_wNAF,0.9825546727797405
x_name.c_x_name.c,x509_name_canon,x509_name_canon,0.9823980758810005
bn_gcd.c_sqrt.c,BN_mod_inverse,BN_mod_sqrt,0.9819695970517917
x509_vfy.c_x509_vfy.c,X509_verify_cert,X509_verify_cert,0.9816462735416456
x509_att.c_x509_att.c,X509_ATTRIBUTE_set1_data,X509_ATTRIBUTE_set1_data,0.9809526445913184
ofb64enc.c_cfb64ede.c,DES_ofb64_encrypt,DES_ede3_cfb_encrypt,0.9809338660938249
bn_exp2.c_exponentiation.c,BN_mod_exp2_mont,mod_exp_recp,0.9809110661764198
asn1_lib.c_asn1_lib.c,ASN1_get_object,ASN1_get_object,0.9807751100800597
pcy_tree.c_pcy_tree.c,tree_link_unmatched,tree_link_unmatched,0.9807331052133698
dsa_ossl.c_dsa.c,dsa_do_sign,DSA_do_sign,0.9805888376948066
ec2_oct.c_oct.c,ec_GF2m_simple_set_compressed_coordinates,ec_GFp_simple_set_compressed_coordinates,0.9801514361099806
ecp_smpl.c_oct.c,ec_GFp_simple_dbl,ec_GFp_simple_set_compressed_coordinates,0.9797836045217048
ofb64ede.c_cfb64ede.c,DES_ede3_ofb64_encrypt,DES_ede3_cfb_encrypt,0.9791707007862811
ecp_oct.c_simple.c,ec_GFp_simple_set_compressed_coordinates,ec_GFp_simple_is_on_curve,0.9789067851625073
ecp_smpl.c_simple.c,ec_GFp_simple_cmp,ec_GFp_simple_add,0.9780989348018948
bf_ofb64.c_cfb64ede.c,BF_ofb64_encrypt,DES_ede3_cfb_encrypt,0.9777333122106253
c_ofb64.c_cfb64ede.c,CAST_ofb64_encrypt,DES_ede3_cfb_encrypt,0.9777333122106253
ctr128.c_ctr.c,CRYPTO_ctr128_encrypt_ctr32,CRYPTO_ctr128_encrypt_ctr32,0.977641226479069
ec2_smpl.c_simple.c,ec_GF2m_simple_add,ec_GFp_simple_dbl,0.9767783475725513
v3_purp.c_v3_purp.c,setup_dp,setup_dp,0.9764714990321044
pcy_cache.c_pcy_cache.c,policy_cache_create,policy_cache_create,0.9761317013705623
ofb_enc.c_cfb64ede.c,DES_ofb_encrypt,DES_ede3_cfb_encrypt,0.9756219763603053
ec2_smpl.c_simple.c,ec_GF2m_simple_is_on_curve,ec_GFp_simple_add,0.9755896613089159
